"fips","2020-11-16","2020-11-17","2020-11-18","2020-11-19","2020-11-20","2020-11-21","2020-11-22","2020-11-23","2020-11-24","2020-11-25","2020-11-26","2020-11-27","2020-11-28","2020-11-29","name"
19185,5.01620483398438,5.06163024902344,5.11235046386719,5.16172027587891,5.21012878417969,5.25754547119141,5.30398559570312,5.34946441650391,5.39400482177734,5.43761444091797,5.48029327392578,5.52207946777344,5.56296539306641,5.60297393798828,"Wayne , Iowa"
20041,15.7435455322266,15.3219718933105,14.8827285766602,14.4331665039062,13.9862976074219,13.5596771240234,13.1689147949219,12.8209381103516,12.5134201049805,12.2394866943359,11.9921798706055,11.7661514282227,11.5576171875,11.3639144897461,"Dickinson , Kansas"
20055,85.4598770141602,83.0176620483398,76.8879013061523,69.5563049316406,62.4476661682129,56.2476692199707,51.0738754272461,46.7804260253906,43.1816291809082,40.1276016235352,37.5079917907715,35.2409133911133,33.2639007568359,31.5281257629395,"Finney , Kansas"
20077,5.32481384277344,5.40322113037109,5.44457244873047,5.48731231689453,5.52907562255859,5.56998443603516,5.61000823974609,5.64915466308594,5.68743896484375,5.72486877441406,5.76144409179688,5.79719543457031,5.83210754394531,5.86621856689453,"Harper , Kansas"
20091,219.627166748047,218.749542236328,218.712249755859,218.710632324219,218.710571289062,218.710571289062,218.710571289062,218.710571289062,218.710571289062,218.710571289062,218.710571289062,218.710571289062,218.710571289062,218.710571289062,"Johnson , Kansas"
20133,16.0420227050781,15.6327056884766,15.2040824890137,14.7603492736816,14.3096313476562,13.8663330078125,13.4482116699219,13.0689468383789,12.7326126098633,12.4350814819336,12.1691055297852,11.9281005859375,11.7072143554688,11.5029907226562,"Neosho , Kansas"
20175,26.4655609130859,25.1471977233887,24.2410202026367,23.4440078735352,22.7172737121582,22.0493202209473,21.4322204589844,20.859302520752,20.3246231079102,19.8228416442871,19.3490943908691,18.898853302002,18.4678268432617,18.0517959594727,"Seward , Kansas"
20179,5.12792205810547,5.17585754394531,5.22409057617188,5.27124786376953,5.31745147705078,5.3626708984375,5.40695953369141,5.45032501220703,5.49275207519531,5.53427124023438,5.57491302490234,5.61466979980469,5.65357208251953,5.69161987304688,"Sheridan , Kansas"
20191,18.1038017272949,17.6994667053223,17.3006019592285,16.9040412902832,16.5053901672363,16.0999794006348,15.6834907531738,15.2530174255371,14.8090057373047,14.3576850891113,13.9124145507812,13.4906768798828,13.1068649291992,12.7660751342773,"Sumner , Kansas"
20199,3.27958679199219,3.35017395019531,3.42638397216797,3.50152587890625,3.57595062255859,3.64962768554688,3.72248840332031,3.79454803466797,3.86572265625,3.93604278564453,4.00544738769531,4.07394409179688,4.1414794921875,4.20805358886719,"Wallace , Kansas"
21015,88.8355255126953,84.5974349975586,77.6361389160156,69.8854675292969,62.5805931091309,56.3023681640625,51.101676940918,46.7991142272949,43.1964149475098,40.1400413513184,37.5186729431152,35.2501907348633,33.2720069885254,31.5352668762207,"Boone , Kentucky"
21039,3.2608642578125,3.35205078125,3.42706298828125,3.50227355957031,3.57669067382812,3.65033721923828,3.72320556640625,3.79524993896484,3.86643218994141,3.93672943115234,4.00614166259766,4.07460021972656,4.14214324951172,4.20870971679688,"Carlisle , Kentucky"
21067,207.798278808594,204.511016845703,200.567321777344,195.920181274414,190.613006591797,184.747741699219,178.466979980469,171.925750732422,165.260879516602,158.567626953125,151.887847900391,145.207977294922,138.461975097656,131.534820556641,"Fayette , Kentucky"
21077,2.95470428466797,3.04377746582031,3.12146759033203,3.19923400878906,3.2763671875,3.35288238525391,3.42872619628906,3.50386047363281,3.57827758789062,3.65191650390625,3.72476196289062,3.79678344726562,3.86794281005859,3.93821716308594,"Gallatin , Kentucky"
21085,14.3710517883301,13.9565124511719,13.5458450317383,13.1624984741211,12.817626953125,12.5112838745117,12.2378005981445,11.9907073974609,11.7648086547852,11.5563735961914,11.3627548217773,11.1819763183594,11.0124969482422,10.8531188964844,"Grayson , Kentucky"
21087,9.95207977294922,9.75570678710938,9.64956665039062,9.55683898925781,9.46961212158203,9.3863525390625,9.306640625,9.23023986816406,9.15696716308594,9.086669921875,9.01915740966797,8.95432281494141,8.89200592041016,8.83211517333984,"Green , Kentucky"
21119,5.81982421875,5.84513854980469,5.87896728515625,5.91162109375,5.94362640380859,5.9749755859375,6.00562286376953,6.03561401367188,6.06490325927734,6.09351348876953,6.1214599609375,6.14874267578125,6.17536926269531,6.20134735107422,"Knott , Kentucky"
21155,17.3767051696777,16.9846038818359,16.5880012512207,16.1847648620605,15.7710151672363,15.3436126708984,14.9021453857422,14.4514961242676,14.0035858154297,13.5755462646484,13.1830902099609,12.8334274291992,12.5244674682617,12.249397277832,"Marion , Kentucky"
21163,13.6044235229492,13.202880859375,12.848503112793,12.5369720458984,12.2603454589844,12.0110702514648,11.7835006713867,11.5736770629883,11.3788604736328,11.1970367431641,11.0266342163086,10.8664321899414,10.7154006958008,10.5727081298828,"Meade , Kentucky"
21175,6.01078033447266,6.05029296875,6.08014678955078,6.10948181152344,6.13780212402344,6.16522216796875,6.19181060791016,6.21762847900391,6.24273681640625,6.26716613769531,6.29094696044922,6.31412506103516,6.33669281005859,6.35869598388672,"Morgan , Kentucky"
21187,2.48879241943359,2.57817840576172,2.65837097167969,2.73876953125,2.81877899169922,2.89841461181641,2.97760009765625,3.05632781982422,3.134521484375,3.21215057373047,3.2891845703125,3.36558532714844,3.44131469726562,3.51634216308594,"Owen , Kentucky"
21197,13.3028182983398,12.4085922241211,11.9770431518555,11.715690612793,11.5042572021484,11.3130950927734,11.1353073120117,10.968635559082,10.8118057250977,10.663818359375,10.5238952636719,10.391357421875,10.2655944824219,10.1460952758789,"Powell , Kentucky"
21215,13.1957550048828,12.775993347168,12.4504928588867,12.1765289306641,11.9333648681641,11.7117462158203,11.5071411132812,11.3168487548828,11.1389923095703,10.9721145629883,10.8150787353516,10.6669082641602,10.5268249511719,10.3941268920898,"Spencer , Kentucky"
21223,2.30739593505859,2.38213348388672,2.46371459960938,2.54469299316406,2.62548065185547,2.70597076416016,2.78614044189453,2.86593627929688,2.9453125,3.02423095703125,3.10263824462891,3.18050384521484,3.25778961181641,3.33445739746094,"Trimble , Kentucky"
