Date,driving,transit,walking,y,y-1,y-2,y-3,y-4,y-5
2020-05-26,-21.79000000000001,-66.42,-25.239999999999995,1804,1030,933,1003,1015,1180
2020-05-27,-19.67,-65.87,-24.209999999999994,878,1804,1030,933,1003,1015
2020-05-28,-18.22,-66.8,-22.569999999999997,1074,878,1804,1030,933,1003
2020-05-29,-8.489999999999995,-64.02000000000001,-16.010000000000005,1788,1074,878,1804,1030,933
2020-05-30,-12.420000000000002,-65.87,-4.340000000000003,2089,1788,1074,878,1804,1030
2020-05-31,-36.0,-73.7,-34.40000000000001,1345,2089,1788,1074,878,1804
2020-06-01,-31.92,-69.27,-36.84,972,1345,2089,1788,1074,878
2020-06-02,-28.40000000000001,-67.62,-27.200000000000006,1150,972,1345,2089,1788,1074
2020-06-03,-21.069999999999997,-66.45,-20.28,1116,1150,972,1345,2089,1788
2020-06-04,-18.870000000000005,-65.93,-22.40000000000001,1416,1116,1150,972,1345,2089
2020-06-05,-9.040000000000006,-64.57,-13.349999999999996,1395,1416,1116,1150,972,1345
2020-06-06,-12.450000000000005,-66.55,-8.540000000000006,1293,1395,1416,1116,1150,972
2020-06-07,-24.090000000000003,-67.8,-15.659999999999995,1506,1293,1395,1416,1116,1150
2020-06-08,-16.230000000000004,-59.69,-19.090000000000003,800,1506,1293,1395,1416,1116
2020-06-09,-12.299999999999995,-60.3,-15.170000000000002,1178,800,1506,1293,1395,1416
2020-06-10,-8.569999999999991,-59.7,-14.920000000000002,1242,1178,800,1506,1293,1395
2020-06-11,-7.1099999999999985,-59.21,-12.680000000000007,1811,1242,1178,800,1506,1293
2020-06-12,6.069999999999991,-58.19,0.019999999999996017,1601,1811,1242,1178,800,1506
2020-06-13,-0.09999999999999433,-61.78,2.8799999999999955,1547,1601,1811,1242,1178,800
2020-06-14,-15.879999999999995,-63.04,-6.6099999999999985,995,1547,1601,1811,1242,1178
2020-06-15,-9.78,-56.34,-12.47,773,995,1547,1601,1811,1242
2020-06-16,-7.400000000000006,-56.06,-10.519999999999996,1293,773,995,1547,1601,1811
2020-06-17,-5.599999999999994,-55.27,-9.22,2105,1293,773,995,1547,1601
2020-06-18,-3.019999999999996,-55.13,-8.189999999999998,1038,2105,1293,773,995,1547
2020-06-19,13.0,-51.46,10.400000000000006,1382,1038,2105,1293,773,995
2020-06-20,2.8499999999999943,-59.86,5.680000000000009,2027,1382,1038,2105,1293,773
2020-06-21,-21.510000000000005,-65.32,-22.28,1761,2027,1382,1038,2105,1293
2020-06-22,-7.230000000000004,-52.54,-9.129999999999997,2545,1761,2027,1382,1038,2105
2020-06-23,-4.3700000000000045,-52.25,-6.8900000000000015,2320,2545,1761,2027,1382,1038
2020-06-24,-2.5400000000000063,-53.26,-6.049999999999998,1228,2320,2545,1761,2027,1382
2020-06-25,0.4300000000000068,-54.22,-2.890000000000001,1977,1228,2320,2545,1761,2027
2020-06-26,12.86,-50.65,8.560000000000002,1765,1977,1228,2320,2545,1761
2020-06-27,6.099999999999994,-58.42,12.549999999999995,2139,1765,1977,1228,2320,2545
2020-06-28,-16.22,-64.32,-14.909999999999995,2523,2139,1765,1977,1228,2320
2020-06-29,-6.1099999999999985,-54.11,-7.1200000000000045,2878,2523,2139,1765,1977,1228
2020-06-30,-2.0600000000000023,-54.49,-5.519999999999996,2757,2878,2523,2139,1765,1977
2020-07-01,0.6700000000000017,-54.33,-4.239999999999995,1978,2757,2878,2523,2139,1765
2020-07-02,7.049999999999998,-55.0,0.28000000000000114,2160,1978,2757,2878,2523,2139
2020-07-03,4.810000000000001,-57.65,6.1599999999999975,2643,2160,1978,2757,2878,2523
2020-07-04,-24.75,-67.5,-18.05,3187,2643,2160,1978,2757,2878
2020-07-05,-21.239999999999995,-66.45,-24.04000000000001,1496,3187,2643,2160,1978,2757
2020-07-06,-6.0900000000000025,-54.17,-7.569999999999991,1577,1496,3187,2643,2160,1978
2020-07-07,-2.6899999999999977,-54.53,-3.3100000000000023,3969,1577,1496,3187,2643,2160
2020-07-08,-1.5,-54.47,-2.950000000000003,2465,3969,1577,1496,3187,2643
2020-07-09,1.8700000000000043,-54.08,-0.1599999999999966,1734,2465,3969,1577,1496,3187
2020-07-10,13.459999999999996,-51.47,11.239999999999995,2620,1734,2465,3969,1577,1496
2020-07-11,5.099999999999994,-58.33,11.459999999999996,2884,2620,1734,2465,3969,1577
2020-07-12,-12.480000000000004,-62.98,-9.810000000000002,3307,2884,2620,1734,2465,3969
